Name,Disaster,BeginDate,EndDate,Cost,Deaths,Year,disasterType,impactScale
Western Fire Season (Fall 2002),Wildfire,20020901,20021130,2,21,2002,6,1
Central and Eastern Winter Storm (January 1999),Winter Storm,19990101,19990104,2,25,1999,8,1
Western Wildfires (Summer 2007),Wildfire,20070601,20070831,3,12,2007,6,1
Florida Freeze (December 1989),Freeze,19891223,19891225,4,10,1989,3,1
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,19820402,19820404,1,33,1982,4,1
Texas Flooding (October 1998),Flooding,19981016,19981024,1,31,1998,2,1
Hurricane Marilyn (September 1995),Tropical Cyclone,19950915,19950917,3,13,1995,5,1
Southeast Ice Storm (February 1994),Winter Storm,19940208,19940213,5,9,1994,8,1
Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,20080522,20080527,4,13,2008,4,1
Hurricane Dennis (July 2005),Tropical Cyclone,20050709,20050711,3,15,2005,5,1
Hurricane Bob (August 1991),Tropical Cyclone,19910818,19910820,3,18,1991,5,1
Numerous Wildfires (2006),Wildfire,20060101,20061231,2,28,2006,6,1
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,20160601,20161231,3,21,2016,6,1
South Carolina and East Coast Flooding (October 2015),Flooding,20151001,20151005,2,25,2015,2,1
Tropical Storm Alberto (July 1994),Tropical Cyclone,19940707,19940710,2,32,1994,5,1
Tropical Storm Lee (September 2011),Tropical Cyclone,20110901,20110905,3,21,2011,5,1
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,20140427,20140501,2,33,2014,4,1
Northern Plains Flooding (Spring 1997),Flooding,19970203,19970524,6,11,1997,2,1
Western/Eastern Drought/Heatwave (Summer-Fall 2007),Drought,20070601,20071130,4,15,2007,1,1
Midwest/Plains/East Tornadoes (May 2013),Severe Storm,20130518,20130522,3,27,2013,4,1
Groundhog Day Blizzard (February 2011),Winter Storm,20110201,20110203,2,36,2011,8,1
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,20080205,20080206,1,57,2008,4,1
Midwest Tornadoes (April 2006),Severe Storm,20060413,20060416,3,27,2006,4,1
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,20150523,20150526,3,31,2015,2,1
East/South Flooding and Severe Weather (May 2010),Flooding,20100430,20100502,3,32,2010,2,1
Northeast Winter Storm (December 1992),Winter Storm,19921210,19921213,4,19,1992,8,1
Midwest/Southeast Tornadoes (April 2011),Severe Storm,20110414,20110416,2,38,2011,4,1
Plains/East/Northeast Severe Weather (June-July 2012),Severe Storm,20120629,20120702,3,28,2012,4,1
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,20150214,20150220,3,30,2015,8,1
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,19970228,19970305,2,67,1997,4,5
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,20151226,20151229,2,50,2015,4,5
California Flooding (January-March 1995),Flooding,19950101,19950331,4,27,1995,2,5
California Wildfires (Fall 2003),Wildfire,20030901,20031130,5,22,2003,6,5
